line_item_id,order_id,customer_id,sku,quantity,item_revenue,category
LI-00000116,O-0000042,C-00002,SKU-0148,1,38.45,recovery
LI-00000117,O-0000043,C-00003,SKU-0039,1,40.3,jackets
LI-00000118,O-0000043,C-00003,SKU-0028,1,45.54,jackets
LI-00000119,O-0000043,C-00003,SKU-0031,1,62.52,jackets
LI-00000120,O-0000043,C-00003,SKU-0040,1,48.75,jackets
LI-00000121,O-0000044,C-00003,SKU-0028,1,124.7,jackets
LI-00000122,O-0000045,C-00003,SKU-0031,2,51.59,jackets
LI-00000123,O-0000045,C-00003,SKU-0097,1,35.38,camp
LI-00000124,O-0000045,C-00003,SKU-0029,1,44.07,jackets
LI-00000125,O-0000045,C-00003,SKU-0038,2,41.6,jackets
LI-00000126,O-0000046,C-00003,SKU-0021,2,37.03,jackets
LI-00000127,O-0000046,C-00003,SKU-0022,2,44.2,jackets
LI-00000128,O-0000046,C-00003,SKU-0144,1,49.61,recovery
LI-00000129,O-0000047,C-00003,SKU-0029,1,63.61,jackets
LI-00000130,O-0000047,C-00003,SKU-0021,1,56.88,jackets
LI-00000131,O-0000047,C-00003,SKU-0025,2,52.18,jackets
LI-00000132,O-0000048,C-00003,SKU-0036,1,36.97,jackets
LI-00000133,O-0000048,C-00003,SKU-0023,1,26.12,jackets
LI-00000134,O-0000048,C-00003,SKU-0039,2,41,jackets
LI-00000135,O-0000048,C-00003,SKU-0003,1,37.33,footwear
LI-00000136,O-0000049,C-00003,SKU-0060,1,183.19,apparel
LI-00000137,O-0000050,C-00003,SKU-0094,1,25.57,camp
LI-00000138,O-0000050,C-00003,SKU-0059,1,38.69,apparel
LI-00000139,O-0000050,C-00003,SKU-0075,1,24.91,packs
LI-00000140,O-0000050,C-00003,SKU-0021,1,35.88,jackets
LI-00000141,O-0000051,C-00003,SKU-0031,1,145.24,jackets
LI-00000142,O-0000052,C-00003,SKU-0036,1,45.61,jackets
LI-00000143,O-0000052,C-00003,SKU-0026,2,75.86,jackets
LI-00000144,O-0000052,C-00003,SKU-0023,2,50.95,jackets
LI-00000145,O-0000053,C-00003,SKU-0086,1,97.05,camp
LI-00000146,O-0000054,C-00003,SKU-0018,1,65.73,footwear
LI-00000147,O-0000054,C-00003,SKU-0027,1,41.37,jackets
LI-00000148,O-0000055,C-00003,SKU-0037,1,37.39,jackets
LI-00000149,O-0000055,C-00003,SKU-0034,2,38.53,jackets
LI-00000150,O-0000055,C-00003,SKU-0026,1,47.91,jackets
LI-00000151,O-0000056,C-00003,SKU-0038,1,51.87,jackets
LI-00000152,O-0000056,C-00003,SKU-0034,1,73.37,jackets
LI-00000153,O-0000057,C-00003,SKU-0030,1,30.96,jackets
LI-00000154,O-0000057,C-00003,SKU-0021,1,30.26,jackets
LI-00000155,O-0000057,C-00003,SKU-0033,1,19.09,jackets
LI-00000156,O-0000057,C-00003,SKU-0036,1,30.7,jackets
LI-00000157,O-0000057,C-00003,SKU-0034,1,18.58,jackets
LI-00000158,O-0000058,C-00003,SKU-0022,1,53.55,jackets
LI-00000159,O-0000058,C-00003,SKU-0033,1,48.09,jackets
LI-00000160,O-0000059,C-00003,SKU-0157,1,33.36,recovery
LI-00000161,O-0000059,C-00003,SKU-0029,1,32.77,jackets
LI-00000162,O-0000059,C-00003,SKU-0036,1,48.9,jackets
LI-00000163,O-0000060,C-00004,SKU-0069,1,35.01,packs
LI-00000164,O-0000060,C-00004,SKU-0075,1,44.94,packs
LI-00000165,O-0000061,C-00004,SKU-0080,1,34.25,packs
LI-00000166,O-0000061,C-00004,SKU-0071,1,32.47,packs
LI-00000167,O-0000061,C-00004,SKU-0131,1,39.44,accessories
LI-00000168,O-0000062,C-00004,SKU-0064,1,78.41,packs
LI-00000169,O-0000063,C-00004,SKU-0069,2,77.57,packs
LI-00000170,O-0000064,C-00004,SKU-0071,1,90.75,packs
LI-00000171,O-0000065,C-00004,SKU-0025,2,89.5,jackets
LI-00000172,O-0000066,C-00004,SKU-0067,1,19.51,packs
LI-00000173,O-0000066,C-00004,SKU-0118,1,20.21,hydration
LI-00000174,O-0000066,C-00004,SKU-0083,1,20,camp
LI-00000175,O-0000066,C-00004,SKU-0072,1,17.33,packs
LI-00000176,O-0000067,C-00004,SKU-0030,1,78.18,jackets
LI-00000177,O-0000068,C-00004,SKU-0031,2,26.78,jackets
LI-00000178,O-0000068,C-00004,SKU-0159,1,34.23,recovery
LI-00000179,O-0000068,C-00004,SKU-0150,1,22.24,recovery
LI-00000180,O-0000069,C-00005,SKU-0031,1,82.38,jackets
LI-00000181,O-0000070,C-00005,SKU-0025,1,36.84,jackets
LI-00000182,O-0000070,C-00005,SKU-0022,1,29.88,jackets
LI-00000183,O-0000070,C-00005,SKU-0029,1,23.63,jackets
LI-00000184,O-0000071,C-00005,SKU-0040,1,91.22,jackets
LI-00000185,O-0000072,C-00005,SKU-0010,1,64.13,footwear
LI-00000186,O-0000073,C-00005,SKU-0027,1,76.12,jackets
LI-00000187,O-0000074,C-00006,SKU-0131,1,46.79,accessories
LI-00000188,O-0000075,C-00006,SKU-0135,1,32.55,accessories
LI-00000189,O-0000075,C-00006,SKU-0125,1,27.22,accessories
LI-00000190,O-0000076,C-00006,SKU-0128,1,71.9,accessories
LI-00000191,O-0000077,C-00006,SKU-0129,1,56.04,accessories
LI-00000192,O-0000078,C-00007,SKU-0022,1,83.38,jackets
LI-00000193,O-0000079,C-00007,SKU-0071,1,80.75,packs
LI-00000194,O-0000080,C-00007,SKU-0023,1,35.65,jackets
LI-00000195,O-0000081,C-00007,SKU-0026,1,59.09,jackets
LI-00000196,O-0000082,C-00008,SKU-0077,1,78.44,packs
LI-00000197,O-0000083,C-00008,SKU-0064,1,71.48,packs
LI-00000198,O-0000084,C-00008,SKU-0092,1,74.54,camp
LI-00000199,O-0000085,C-00008,SKU-0100,2,70.14,camp
LI-00000200,O-0000086,C-00008,SKU-0084,1,65.13,camp
LI-00000201,O-0000087,C-00008,SKU-0100,1,25.41,camp
LI-00000202,O-0000087,C-00008,SKU-0091,1,18.97,camp
LI-00000203,O-0000087,C-00008,SKU-0108,1,19.22,hydration
LI-00000204,O-0000088,C-00009,SKU-0038,1,66.69,jackets
LI-00000205,O-0000089,C-00009,SKU-0031,1,84.44,jackets
LI-00000206,O-0000090,C-00009,SKU-0026,2,32.45,jackets
LI-00000207,O-0000090,C-00009,SKU-0036,1,36.68,jackets
LI-00000208,O-0000091,C-00009,SKU-0038,1,32.14,jackets
LI-00000209,O-0000091,C-00009,SKU-0052,1,34.9,apparel
LI-00000210,O-0000092,C-00009,SKU-0033,1,61.91,jackets
LI-00000211,O-0000093,C-00010,SKU-0132,1,87.81,accessories
LI-00000212,O-0000094,C-00010,SKU-0117,1,67.31,hydration
LI-00000213,O-0000095,C-00010,SKU-0018,1,54.85,footwear
LI-00000214,O-0000096,C-00010,SKU-0080,1,45.35,packs
LI-00000215,O-0000096,C-00010,SKU-0120,1,48.57,hydration
LI-00000216,O-0000097,C-00010,SKU-0106,2,29.82,hydration
LI-00000217,O-0000097,C-00010,SKU-0110,1,25.59,hydration
LI-00000218,O-0000097,C-00010,SKU-0070,1,23.11,packs
LI-00000219,O-0000098,C-00010,SKU-0102,2,100.22,hydration
LI-00000220,O-0000099,C-00010,SKU-0037,1,46.71,jackets
LI-00000221,O-0000100,C-00010,SKU-0112,1,51.13,hydration
LI-00000222,O-0000100,C-00010,SKU-0094,1,51.45,camp
LI-00000223,O-0000101,C-00010,SKU-0067,1,28.28,packs
LI-00000224,O-0000101,C-00010,SKU-0106,1,16.86,hydration
LI-00000225,O-0000101,C-00010,SKU-0140,1,26.41,accessories
LI-00000226,O-0000102,C-00010,SKU-0114,1,38.51,hydration
LI-00000227,O-0000102,C-00010,SKU-0160,2,50.94,recovery
LI-00000228,O-0000103,C-00011,SKU-0145,1,65.82,recovery
LI-00000229,O-0000104,C-00011,SKU-0091,1,60.72,camp
LI-00000230,O-0000105,C-00012,SKU-0082,1,77.68,camp
LI-00000231,O-0000106,C-00012,SKU-0115,1,65.85,hydration
LI-00000232,O-0000107,C-00012,SKU-0031,1,29.87,jackets
LI-00000233,O-0000107,C-00012,SKU-0121,1,28.59,accessories
LI-00000234,O-0000107,C-00012,SKU-0069,1,34.08,packs
LI-00000235,O-0000108,C-00012,SKU-0070,1,43.78,packs
LI-00000236,O-0000108,C-00012,SKU-0081,2,40.76,camp
LI-00000237,O-0000109,C-00012,SKU-0153,2,72.6,recovery
LI-00000238,O-0000110,C-00012,SKU-0124,1,28.93,accessories
LI-00000239,O-0000110,C-00012,SKU-0130,1,23.07,accessories
LI-00000240,O-0000110,C-00012,SKU-0112,1,34.36,hydration
LI-00000241,O-0000111,C-00012,SKU-0136,1,90.59,accessories
LI-00000242,O-0000112,C-00012,SKU-0123,1,108.94,accessories
LI-00000243,O-0000113,C-00012,SKU-0130,1,110.91,accessories
LI-00000244,O-0000114,C-00012,SKU-0137,1,99.62,accessories
LI-00000245,O-0000115,C-00012,SKU-0140,1,70.78,accessories
LI-00000246,O-0000116,C-00012,SKU-0007,2,77.73,footwear
LI-00000247,O-0000117,C-00012,SKU-0139,1,31.91,accessories
LI-00000248,O-0000118,C-00012,SKU-0133,1,65.02,accessories
LI-00000249,O-0000119,C-00012,SKU-0124,1,67.57,accessories
LI-00000250,O-0000120,C-00012,SKU-0050,1,26.52,apparel
LI-00000251,O-0000120,C-00012,SKU-0092,1,26.68,camp
LI-00000252,O-0000120,C-00012,SKU-0140,2,20.55,accessories
LI-00000253,O-0000121,C-00012,SKU-0065,1,50.01,packs
LI-00000254,O-0000121,C-00012,SKU-0081,1,41.37,camp
LI-00000255,O-0000122,C-00013,SKU-0083,1,90.26,camp
LI-00000256,O-0000123,C-00013,SKU-0093,1,91.25,camp
LI-00000257,O-0000124,C-00013,SKU-0004,1,35.52,footwear
LI-00000258,O-0000124,C-00013,SKU-0077,2,44.02,packs
LI-00000259,O-0000125,C-00013,SKU-0099,1,52.67,camp
LI-00000260,O-0000126,C-00013,SKU-0102,1,38.9,hydration
LI-00000261,O-0000126,C-00013,SKU-0089,1,36.58,camp
LI-00000262,O-0000127,C-00013,SKU-0032,1,81.15,jackets
LI-00000263,O-0000128,C-00013,SKU-0085,1,65.5,camp
LI-00000264,O-0000129,C-00013,SKU-0092,1,42.89,camp
LI-00000265,O-0000129,C-00013,SKU-0081,1,58.99,camp
LI-00000266,O-0000130,C-00013,SKU-0132,1,87.8,accessories
LI-00000267,O-0000131,C-00013,SKU-0092,2,76.19,camp
LI-00000268,O-0000132,C-00013,SKU-0135,1,25.89,accessories
LI-00000269,O-0000132,C-00013,SKU-0098,1,23.17,camp
LI-00000270,O-0000132,C-00013,SKU-0085,1,27.52,camp
LI-00000271,O-0000133,C-00013,SKU-0054,1,38.19,apparel
LI-00000272,O-0000133,C-00013,SKU-0081,1,44.9,camp
LI-00000273,O-0000134,C-00013,SKU-0082,1,81.61,camp
LI-00000274,O-0000135,C-00014,SKU-0116,1,36.58,hydration
LI-00000275,O-0000135,C-00014,SKU-0109,1,33.74,hydration
LI-00000276,O-0000136,C-00014,SKU-0123,1,72.07,accessories
LI-00000277,O-0000137,C-00014,SKU-0106,1,36.3,hydration
LI-00000278,O-0000137,C-00014,SKU-0110,1,30.84,hydration
LI-00000279,O-0000138,C-00014,SKU-0119,2,51.41,hydration
LI-00000280,O-0000139,C-00014,SKU-0118,1,28.65,hydration
LI-00000281,O-0000139,C-00014,SKU-0129,2,34.97,accessories
LI-00000282,O-0000139,C-00014,SKU-0117,1,39.64,hydration
LI-00000283,O-0000140,C-00014,SKU-0114,1,43.06,hydration
LI-00000284,O-0000140,C-00014,SKU-0110,1,44.02,hydration
LI-00000285,O-0000141,C-00014,SKU-0063,1,59.86,packs
LI-00000286,O-0000141,C-00014,SKU-0127,2,44.71,accessories
LI-00000287,O-0000142,C-00014,SKU-0115,1,52.94,hydration
LI-00000288,O-0000143,C-00014,SKU-0109,1,18.11,hydration
LI-00000289,O-0000143,C-00014,SKU-0106,1,25.99,hydration
LI-00000290,O-0000143,C-00014,SKU-0033,1,27.92,jackets
LI-00000291,O-0000144,C-00014,SKU-0103,1,95.42,hydration
LI-00000292,O-0000145,C-00014,SKU-0028,1,31.44,jackets
LI-00000293,O-0000145,C-00014,SKU-0119,1,40.26,hydration
LI-00000294,O-0000146,C-00015,SKU-0137,1,91.47,accessories
LI-00000295,O-0000147,C-00015,SKU-0057,1,26.24,apparel
LI-00000296,O-0000147,C-00015,SKU-0012,1,41.75,footwear
LI-00000297,O-0000148,C-00015,SKU-0127,1,28.63,accessories
LI-00000298,O-0000148,C-00015,SKU-0126,1,27.38,accessories
LI-00000299,O-0000149,C-00015,SKU-0133,1,53.37,accessories
LI-00000300,O-0000150,C-00015,SKU-0124,1,72.14,accessories
LI-00000301,O-0000151,C-00015,SKU-0124,1,35.62,accessories
LI-00000302,O-0000151,C-00015,SKU-0136,1,41.94,accessories
LI-00000303,O-0000152,C-00015,SKU-0122,1,14.26,accessories
LI-00000304,O-0000152,C-00015,SKU-0134,1,14.11,accessories
LI-00000305,O-0000152,C-00015,SKU-0089,1,19.94,camp
LI-00000306,O-0000153,C-00016,SKU-0079,1,45.02,packs
LI-00000307,O-0000154,C-00016,SKU-0078,1,71.49,packs
LI-00000308,O-0000155,C-00016,SKU-0131,1,55.7,accessories
LI-00000309,O-0000156,C-00016,SKU-0062,1,58.27,packs
LI-00000310,O-0000157,C-00017,SKU-0007,1,55.88,footwear
LI-00000311,O-0000157,C-00017,SKU-0011,1,43.29,footwear
LI-00000312,O-0000158,C-00017,SKU-0001,1,43.77,footwear
LI-00000313,O-0000158,C-00017,SKU-0050,1,48.09,apparel
LI-00000314,O-0000159,C-00017,SKU-0006,1,56.95,footwear
LI-00000315,O-0000159,C-00017,SKU-0002,1,46.42,footwear
LI-00000316,O-0000160,C-00017,SKU-0002,1,85.05,footwear
LI-00000317,O-0000161,C-00017,SKU-0009,1,41.18,footwear
LI-00000318,O-0000161,C-00017,SKU-0008,2,32.13,footwear
LI-00000319,O-0000161,C-00017,SKU-0013,1,24.98,footwear
LI-00000320,O-0000162,C-00017,SKU-0006,1,26.68,footwear
LI-00000321,O-0000162,C-00017,SKU-0011,1,25.87,footwear
LI-00000322,O-0000163,C-00017,SKU-0002,1,87.49,footwear
LI-00000323,O-0000164,C-00017,SKU-0102,1,78.04,hydration
LI-00000324,O-0000165,C-00017,SKU-0005,1,58.37,footwear
LI-00000325,O-0000165,C-00017,SKU-0010,1,61.17,footwear
LI-00000326,O-0000166,C-00017,SKU-0063,1,73.58,packs
LI-00000327,O-0000167,C-00017,SKU-0051,1,72.17,apparel
LI-00000328,O-0000168,C-00017,SKU-0001,1,17.41,footwear
LI-00000329,O-0000168,C-00017,SKU-0004,1,23.75,footwear
LI-00000330,O-0000169,C-00018,SKU-0016,2,93.49,footwear
LI-00000331,O-0000170,C-00018,SKU-0003,1,30.24,footwear
LI-00000332,O-0000170,C-00018,SKU-0018,1,40.48,footwear
LI-00000333,O-0000171,C-00018,SKU-0042,1,32.15,apparel
LI-00000334,O-0000171,C-00018,SKU-0001,1,40.52,footwear
LI-00000335,O-0000172,C-00018,SKU-0017,1,42.67,footwear
LI-00000336,O-0000172,C-00018,SKU-0020,1,49.82,footwear
LI-00000337,O-0000173,C-00018,SKU-0005,1,32.67,footwear
LI-00000338,O-0000174,C-00018,SKU-0001,1,34.16,footwear
LI-00000339,O-0000174,C-00018,SKU-0016,1,40.16,footwear
LI-00000340,O-0000175,C-00019,SKU-0048,1,34.15,apparel
LI-00000341,O-0000175,C-00019,SKU-0154,1,32.22,recovery
LI-00000342,O-0000175,C-00019,SKU-0041,1,21.6,apparel
LI-00000343,O-0000176,C-00019,SKU-0044,2,79.3,apparel
LI-00000344,O-0000177,C-00019,SKU-0057,1,108.07,apparel
LI-00000345,O-0000178,C-00019,SKU-0049,1,66.3,apparel
LI-00000346,O-0000179,C-00019,SKU-0052,1,47.79,apparel
LI-00000347,O-0000180,C-00019,SKU-0041,2,16.85,apparel
LI-00000348,O-0000180,C-00019,SKU-0047,1,30.6,apparel
LI-00000349,O-0000180,C-00019,SKU-0044,1,28.31,apparel
LI-00000350,O-0000181,C-00019,SKU-0058,2,38.62,apparel
LI-00000351,O-0000181,C-00019,SKU-0047,1,38.77,apparel
LI-00000352,O-0000182,C-00020,SKU-0030,1,41.03,jackets
LI-00000353,O-0000183,C-00020,SKU-0156,1,35.91,recovery
LI-00000354,O-0000183,C-00020,SKU-0035,1,29.58,jackets
LI-00000355,O-0000183,C-00020,SKU-0031,1,31.37,jackets
LI-00000356,O-0000184,C-00020,SKU-0136,1,49.43,accessories
LI-00000357,O-0000185,C-00020,SKU-0062,2,50.82,packs
LI-00000358,O-0000186,C-00020,SKU-0025,1,78.41,jackets
LI-00000359,O-0000187,C-00020,SKU-0032,1,52.41,jackets
LI-00000360,O-0000188,C-00021,SKU-0092,2,35.21,camp
LI-00000361,O-0000188,C-00021,SKU-0141,1,29.51,recovery
LI-00000362,O-0000188,C-00021,SKU-0024,1,39.64,jackets
LI-00000363,O-0000189,C-00021,SKU-0144,1,32.48,recovery
LI-00000364,O-0000189,C-00021,SKU-0145,1,30.44,recovery
LI-00000365,O-0000189,C-00021,SKU-0156,2,37.44,recovery
LI-00000366,O-0000190,C-00021,SKU-0125,1,46.29,accessories
LI-00000367,O-0000190,C-00021,SKU-0142,1,60.31,recovery
LI-00000368,O-0000191,C-00021,SKU-0153,1,89.48,recovery
LI-00000369,O-0000192,C-00021,SKU-0130,1,94.9,accessories
LI-00000370,O-0000193,C-00021,SKU-0146,1,92.58,recovery
LI-00000371,O-0000194,C-00021,SKU-0040,1,29.09,jackets
LI-00000372,O-0000194,C-00021,SKU-0153,1,20.66,recovery
LI-00000373,O-0000194,C-00021,SKU-0147,1,24.02,recovery
LI-00000374,O-0000195,C-00021,SKU-0137,1,105.65,accessories
LI-00000375,O-0000196,C-00021,SKU-0060,1,23.46,apparel
LI-00000376,O-0000196,C-00021,SKU-0141,1,26.13,recovery
LI-00000377,O-0000197,C-00021,SKU-0080,1,52.6,packs
LI-00000378,O-0000197,C-00021,SKU-0144,2,67.86,recovery
LI-00000379,O-0000198,C-00021,SKU-0012,1,24.69,footwear
LI-00000380,O-0000198,C-00021,SKU-0160,1,30.14,recovery
LI-00000381,O-0000199,C-00021,SKU-0068,1,70.46,packs
LI-00000382,O-0000200,C-00021,SKU-0159,1,35.06,recovery
LI-00000383,O-0000200,C-00021,SKU-0151,1,61.68,recovery
LI-00000384,O-0000201,C-00021,SKU-0086,1,43.37,camp
LI-00000385,O-0000201,C-00021,SKU-0156,1,40.56,recovery
LI-00000386,O-0000202,C-00022,SKU-0069,1,35.64,packs
LI-00000387,O-0000202,C-00022,SKU-0088,1,39.08,camp
LI-00000388,O-0000203,C-00022,SKU-0094,1,36.25,camp
LI-00000389,O-0000203,C-00022,SKU-0083,1,45.94,camp
LI-00000390,O-0000204,C-00022,SKU-0082,1,64.9,camp
LI-00000391,O-0000205,C-00022,SKU-0096,1,71.39,camp
LI-00000392,O-0000206,C-00022,SKU-0086,1,79.51,camp
LI-00000393,O-0000207,C-00022,SKU-0085,1,71.65,camp
LI-00000394,O-0000208,C-00022,SKU-0096,1,75.19,camp
LI-00000395,O-0000209,C-00022,SKU-0120,1,78.28,hydration
LI-00000396,O-0000210,C-00022,SKU-0061,1,82.98,packs
LI-00000397,O-0000211,C-00023,SKU-0068,1,200.38,packs
LI-00000398,O-0000212,C-00023,SKU-0078,1,56.03,packs
LI-00000399,O-0000212,C-00023,SKU-0065,1,49.04,packs
LI-00000400,O-0000212,C-00023,SKU-0074,1,42.14,packs
