date,units_sold,orders,revenue,avg_price,promotion,holiday,temperature,day_of_week
2024-08-15,93,60,10949.82,117.74,0,0,20.6,4
2024-08-16,134,80,14888.74,111.11,1,0,21.7,5
2024-08-17,106,68,12564.18,118.53,0,0,22.4,6
2024-08-18,113,71,13230.04,117.08,0,0,24.7,0
2024-08-19,91,58,10395.84,114.24,0,0,22.2,1
2024-08-20,71,45,8382.26,118.06,0,0,24.7,2
2024-08-21,98,60,10959.34,111.83,0,0,26,3
2024-08-22,99,66,11373.12,114.88,0,0,22,4
2024-08-23,104,69,12350,118.75,0,0,19.5,5
2024-08-24,143,93,16167.58,113.06,0,0,24.2,6
2024-08-25,121,76,13743.18,113.58,0,0,23.6,0
2024-08-26,124,82,13212.2,106.55,1,0,26.7,1
2024-08-27,138,90,14288.52,103.54,1,0,23.9,2
2024-08-28,130,84,14363.7,110.49,1,0,19.5,3
2024-08-29,149,96,16239.51,108.99,1,0,23.7,4
2024-08-30,108,69,12812.04,118.63,0,0,27.4,5
2024-08-31,126,81,14290.92,113.42,0,0,21.6,6
2024-09-01,124,82,14326.96,115.54,0,0,20.8,0
2024-09-02,91,62,10962.77,120.47,0,0,22,1
2024-09-03,90,56,10667.7,118.53,0,0,29.1,2
2024-09-04,85,54,10287.55,121.03,0,0,26.2,3
2024-09-05,94,58,11185.06,118.99,0,0,27.9,4
2024-09-06,111,66,13167.93,118.63,0,0,25.4,5
2024-09-07,136,88,16511.76,121.41,0,0,25.7,6
2024-09-08,163,104,18044.1,110.7,1,0,22.8,0
2024-09-09,80,51,9627.2,120.34,0,0,26.5,1
2024-09-10,80,54,9736.8,121.71,0,0,25.3,2
2024-09-11,90,57,10499.4,116.66,0,0,28.4,3
2024-09-12,90,55,10894.5,121.05,0,0,26.7,4
2024-09-13,102,69,12098.22,118.61,0,0,25.1,5
2024-09-14,121,80,14581.71,120.51,0,0,27.5,6
2024-09-15,124,78,14725,118.75,0,0,24.9,0
2024-09-16,100,62,11840,118.4,0,0,26,1
2024-09-17,99,61,11824.56,119.44,0,0,27.1,2
2024-09-18,105,65,11922.75,113.55,0,0,30.2,3
2024-09-19,107,67,12301.79,114.97,0,0,25.3,4
2024-09-20,104,68,12382.24,119.06,0,0,24.3,5
2024-09-21,130,83,14972.1,115.17,0,0,33.6,6
2024-09-22,120,76,14277.6,118.98,0,0,29.5,0
2024-09-23,101,63,11553.39,114.39,0,0,26.2,1
2024-09-24,136,89,14447.28,106.23,1,0,26,2
2024-09-25,102,66,11826.9,115.95,0,0,25.3,3
2024-09-26,107,69,11984,112,0,0,28.1,4
2024-09-27,153,99,16038.99,104.83,1,0,26.2,5
2024-09-28,139,90,15787.62,113.58,0,0,31.3,6
2024-09-29,119,73,14049.14,118.06,0,0,31.7,0
2024-09-30,95,57,10960.15,115.37,0,0,28.3,1
2024-10-01,96,57,11178.24,116.44,0,0,27.9,2
2024-10-02,134,86,15226.42,113.63,1,0,30.4,3
2024-10-03,104,64,12391.6,119.15,0,0,26.7,4
2024-10-04,105,71,12400.5,118.1,0,0,27.6,5
2024-10-05,146,92,17264.5,118.25,0,0,27.1,6
2024-10-06,135,88,16144.65,119.59,0,0,27.8,0
2024-10-07,79,50,9665.65,122.35,0,0,27.7,1
2024-10-08,98,62,11547.34,117.83,0,0,26.9,2
2024-10-09,92,59,11201.92,121.76,0,0,29.2,3
2024-10-10,105,69,12509.7,119.14,0,0,24.5,4
2024-10-11,118,78,14188.32,120.24,0,0,31.6,5
2024-10-12,137,89,16696.19,121.87,0,0,23.7,6
2024-10-13,127,80,15257.78,120.14,0,0,28,0
2024-10-14,90,60,10707.3,118.97,0,0,29.6,1
2024-10-15,101,65,12078.59,119.59,0,0,28.8,2
2024-10-16,105,63,12539.1,119.42,0,0,24.6,3
2024-10-17,104,68,12677.6,121.9,0,0,25.8,4
2024-10-18,154,101,16946.16,110.04,1,0,25.2,5
2024-10-19,148,93,17000.76,114.87,0,0,27,6
2024-10-20,118,72,13624.28,115.46,0,0,27.9,0
2024-10-21,136,87,14590.08,107.28,1,0,26.2,1
2024-10-22,147,94,15820.14,107.62,1,0,28.7,2
2024-10-23,147,95,15696.66,106.78,1,0,28.6,3
2024-10-24,157,100,16927.74,107.82,1,0,30.1,4
2024-10-25,124,78,14109.96,113.79,0,0,31.4,5
2024-10-26,145,89,16502.45,113.81,0,0,33.3,6
2024-10-27,132,85,15300.12,115.91,0,0,28.8,0
2024-10-28,99,67,11389.95,115.05,0,0,27.2,1
2024-10-29,94,61,10883.32,115.78,0,0,23.4,2
2024-10-30,116,75,13679.88,117.93,0,0,27.3,3
2024-10-31,105,71,12693.45,120.89,0,0,30.3,4
2024-11-01,116,76,13762.24,118.64,0,0,33.6,5
2024-11-02,132,85,16275.6,123.3,0,0,34.3,6
2024-11-03,173,110,18915.82,109.34,1,0,30,0
2024-11-04,131,84,14298.65,109.15,1,0,30.4,1
2024-11-05,96,63,11586.24,120.69,0,0,32.3,2
2024-11-06,103,64,12461.97,120.99,0,0,30.2,3
2024-11-07,112,73,13435.52,119.96,0,0,32.9,4
2024-11-08,112,71,13520.64,120.72,0,0,27.3,5
2024-11-09,176,112,19761.28,112.28,1,0,27,6
2024-11-10,173,109,19017.89,109.93,1,0,30.4,0
2024-11-11,89,56,10444.15,117.35,0,0,30,1
2024-11-12,88,56,10468.48,118.96,0,0,32.4,2
2024-11-13,102,66,12383.82,121.41,0,0,29.7,3
2024-11-14,109,66,12985.17,119.13,0,0,31.2,4
2024-11-15,119,75,14310.94,120.26,0,0,27,5
2024-11-16,148,98,17705.24,119.63,0,0,30.2,6
2024-11-17,172,108,18574.28,107.99,1,0,26.8,0
2024-11-18,106,69,12572.66,118.61,0,0,33.2,1
2024-11-19,103,67,12472.27,121.09,0,0,30.1,2
2024-11-20,112,69,12608.96,112.58,0,0,32.2,3
2024-11-21,118,76,14342.9,121.55,0,0,26,4
2024-11-22,115,73,13524,117.6,0,0,31.6,5
2024-11-23,181,114,18858.39,104.19,1,0,27.6,6
2024-11-24,176,115,18717.6,106.35,1,0,29.6,0
2024-11-25,137,90,14878.2,108.6,1,0,29.1,1
2024-11-26,139,86,15068.99,108.41,1,0,30.6,2
2024-11-27,159,102,16795.17,105.63,1,0,30.5,3
2024-11-28,150,93,15952.5,106.35,1,0,31.3,4
2024-11-29,164,103,17190.48,104.82,1,0,29.8,5
2024-11-30,174,110,18852.9,108.35,1,0,31.5,6
2024-12-01,139,88,16144.85,116.15,0,0,31.3,0
2024-12-02,89,55,10623.93,119.37,0,0,28.3,1
2024-12-03,108,70,12669.48,117.31,0,0,26.2,2
2024-12-04,103,67,12362.06,120.02,0,0,32.8,3
2024-12-05,117,78,13882.05,118.65,0,0,30.5,4
2024-12-06,110,71,13204.4,120.04,0,0,31.5,5
2024-12-07,135,85,16259.4,120.44,0,0,32.6,6
2024-12-08,135,88,16131.15,119.49,0,0,28.9,0
2024-12-09,92,60,11326.12,123.11,0,0,30.5,1
2024-12-10,105,69,12595.8,119.96,0,0,27,2
2024-12-11,109,70,13011.33,119.37,0,0,27.7,3
2024-12-12,104,62,12736.88,122.47,0,0,28.2,4
2024-12-13,119,75,14188.37,119.23,0,0,28.1,5
2024-12-14,149,96,17354.03,116.47,0,0,27.7,6
2024-12-15,134,85,15754.38,117.57,0,0,30.6,0
2024-12-16,136,88,15170.8,111.55,1,0,28.9,1
2024-12-17,150,97,16525.5,110.17,1,0,30.9,2
2024-12-18,147,93,15939.21,108.43,1,0,28.5,3
2024-12-19,151,96,16596.41,109.91,1,0,26.2,4
2024-12-20,139,84,16546.56,119.04,0,1,27.1,5
2024-12-21,163,105,19372.55,118.85,0,1,24.9,6
2024-12-22,155,99,18657.35,120.37,0,1,30.9,0
2024-12-23,126,78,14036.4,111.4,0,1,26.5,1
2024-12-24,123,78,14315.97,116.39,0,1,28.5,2
2024-12-25,123,80,14185.59,115.33,0,1,31,3
2024-12-26,135,84,15014.7,111.22,0,1,33.5,4
2024-12-27,142,89,16510.34,116.27,0,1,27,5
2024-12-28,178,114,20391.68,114.56,0,1,27.2,6
2024-12-29,160,102,18633.6,116.46,0,1,30.5,0
2024-12-30,123,77,14675.13,119.31,0,1,25.9,1
2024-12-31,125,79,14480,115.84,0,1,30.5,2
2025-01-01,134,84,15856.22,118.33,0,1,27.9,3
2025-01-02,134,83,15691.4,117.1,0,1,29.4,4
2025-01-03,141,88,16537.89,117.29,0,1,25.8,5
2025-01-04,127,79,15015.21,118.23,0,0,27.7,6
2025-01-05,166,111,18040.88,108.68,1,0,25.1,0
2025-01-06,88,52,10735.12,121.99,0,0,25.7,1
2025-01-07,99,66,12070.08,121.92,0,0,29.5,2
2025-01-08,94,57,11391.86,121.19,0,0,26.9,3
2025-01-09,109,64,13060.38,119.82,0,0,27.9,4
2025-01-10,111,72,13571.97,122.27,0,0,28,5
2025-01-11,136,86,16496.8,121.3,0,0,27.2,6
2025-01-12,131,83,15684.63,119.73,0,0,25,0
2025-01-13,87,57,10285.14,118.22,0,0,28.9,1
2025-01-14,85,55,10119.25,119.05,0,0,24.8,2
2025-01-15,146,98,16140.3,110.55,1,0,22.4,3
2025-01-16,90,60,11016,122.4,0,0,26.9,4
2025-01-17,113,73,13518.19,119.63,0,0,27.4,5
2025-01-18,138,86,16141.86,116.97,0,0,26,6
2025-01-19,119,78,14025.34,117.86,0,0,28.1,0
2025-01-20,83,55,10011.46,120.62,0,0,25.5,1
2025-01-21,99,63,11567.16,116.84,0,0,27.1,2
2025-01-22,149,94,15998.13,107.37,1,0,20.3,3
2025-01-23,106,69,12299.18,116.03,0,0,28,4
2025-01-24,152,97,16344.56,107.53,1,0,29.2,5
2025-01-25,137,87,15901.59,116.07,0,0,29,6
2025-01-26,129,84,15251.67,118.23,0,0,26.9,0
2025-01-27,106,72,12303.42,116.07,0,0,24.8,1
2025-01-28,102,64,11860.56,116.28,0,0,24.1,2
2025-01-29,102,67,11896.26,116.63,0,0,26.3,3
2025-01-30,107,72,12097.42,113.06,0,0,22.2,4
2025-01-31,114,73,13536.36,118.74,0,0,25.4,5
2025-02-01,129,83,15047.85,116.65,0,0,24.9,6
2025-02-02,124,81,14922.16,120.34,0,0,25.4,0
2025-02-03,129,80,14206.77,110.13,1,0,22.7,1
2025-02-04,98,62,11456.2,116.9,0,0,25.3,2
2025-02-05,102,65,12059.46,118.23,0,0,26.8,3
2025-02-06,96,62,11665.92,121.52,0,0,27,4
2025-02-07,106,68,12894.9,121.65,0,0,23.7,5
2025-02-08,133,85,15525.09,116.73,0,0,22.8,6
2025-02-09,127,79,15471.14,121.82,0,0,22.8,0
2025-02-10,129,81,14250.63,110.47,1,0,21.8,1
2025-02-11,129,82,14476.38,112.22,1,0,27.1,2
2025-02-12,132,84,14890.92,112.81,1,0,22.5,3
2025-02-13,137,89,15127.54,110.42,1,0,16.9,4
2025-02-14,102,64,12152.28,119.14,0,0,23.2,5
2025-02-15,129,82,15362.61,119.09,0,0,25.7,6
2025-02-16,118,78,13573.54,115.03,0,0,20,0
2025-02-17,87,55,10327.77,118.71,0,0,24.4,1
2025-02-18,95,59,11034.25,116.15,0,0,21.3,2
2025-02-19,96,59,10997.76,114.56,0,0,22.4,3
2025-02-20,95,61,11261.3,118.54,0,0,21.2,4
2025-02-21,153,99,15988.5,104.5,1,0,24.2,5
2025-02-22,131,87,14704.75,112.25,0,0,23.4,6
2025-02-23,121,77,14176.36,117.16,0,0,18,0
2025-02-24,126,83,13645.8,108.3,1,0,24.3,1
2025-02-25,85,54,9884.65,116.29,0,0,21.7,2
2025-02-26,87,60,10319.94,118.62,0,0,20.1,3
2025-02-27,94,57,10699.08,113.82,0,0,22.4,4
2025-02-28,109,71,12531.73,114.97,0,0,20.5,5
2025-03-01,125,84,14640,117.12,0,0,22.2,6
2025-03-02,150,94,16455,109.7,1,0,23.4,0
2025-03-03,85,56,9765.65,114.89,0,0,17.9,1
2025-03-04,97,60,11093.89,114.37,0,0,18.4,2
2025-03-05,82,54,9554.64,116.52,0,0,12.1,3
2025-03-06,141,95,15278.76,108.36,1,0,20.7,4
2025-03-07,111,77,12989.22,117.02,0,0,19.5,5
2025-03-08,119,75,14075.32,118.28,0,0,14.4,6
2025-03-09,100,64,11983,119.83,0,0,20.9,0
2025-03-10,83,52,9979.92,120.24,0,0,15.6,1
2025-03-11,90,54,10734.3,119.27,0,0,16.5,2
2025-03-12,92,60,11071.28,120.34,0,0,18.6,3
2025-03-13,92,61,11140.28,121.09,0,0,19.9,4
2025-03-14,104,65,12597.52,121.13,0,0,19.7,5
2025-03-15,111,74,13653,123,0,0,22,6
2025-03-16,112,66,13360.48,119.29,0,0,21.6,0
2025-03-17,88,55,10372.56,117.87,0,0,17.5,1
2025-03-18,73,48,8782.63,120.31,0,0,17.2,2
2025-03-19,90,61,10458,116.2,0,0,16.8,3
2025-03-20,89,55,10479.75,117.75,0,0,15.4,4
2025-03-21,135,90,14165.55,104.93,1,0,19,5
2025-03-22,160,105,16816,105.1,1,0,13.1,6
2025-03-23,105,68,12677.7,120.74,0,0,19.3,0
2025-03-24,85,50,9775.85,115.01,0,0,17.2,1
2025-03-25,93,60,10690.35,114.95,0,0,21.2,2
2025-03-26,90,59,10438.2,115.98,0,0,18.7,3
2025-03-27,85,53,10031.7,118.02,0,0,15.5,4
2025-03-28,106,68,12479.38,117.73,0,0,17.3,5
2025-03-29,114,75,13356.24,117.16,0,0,17,6
2025-03-30,115,75,13499.85,117.39,0,0,15.7,0
2025-03-31,79,51,9275.39,117.41,0,0,15.9,1
2025-04-01,85,52,9583.75,112.75,0,0,20.1,2
2025-04-02,88,55,10133.2,115.15,0,0,15.9,3
2025-04-03,93,62,10947.03,117.71,0,0,14.6,4
2025-04-04,95,59,11309.75,119.05,0,0,15.9,5
2025-04-05,153,98,16398.54,107.18,1,0,22.1,6
2025-04-06,115,73,13851.75,120.45,0,0,11.8,0
2025-04-07,144,90,15660,108.75,1,1,15.4,1
2025-04-08,134,84,15196.94,113.41,1,1,18.8,2
2025-04-09,157,103,17248.02,109.86,1,1,15.2,3
2025-04-10,147,94,16246.44,110.52,1,1,14,4
2025-04-11,94,64,11408.78,121.37,0,0,18.4,5
2025-04-12,109,68,13314.35,122.15,0,0,14.3,6
2025-04-13,100,63,11972,119.72,0,0,14.7,0
2025-04-14,80,53,9631.2,120.39,0,0,11.4,1
2025-04-15,76,47,9000.68,118.43,0,0,18.9,2
2025-04-16,84,53,10038.84,119.51,0,0,14.5,3
2025-04-17,82,53,9868.7,120.35,0,0,16.3,4
2025-04-18,94,61,10969.8,116.7,0,0,19.6,5
2025-04-19,116,75,13595.2,117.2,0,0,18.3,6
2025-04-20,107,69,12559.66,117.38,0,0,14.2,0
2025-04-21,74,48,8390.86,113.39,0,0,16.3,1
2025-04-22,74,47,8750.5,118.25,0,0,19.2,2
2025-04-23,82,56,9729.3,118.65,0,0,14.6,3
2025-04-24,92,56,10700.52,116.31,0,0,11.8,4
2025-04-25,99,62,11548.35,116.65,0,0,12.4,5
2025-04-26,105,68,11987.85,114.17,0,0,14.8,6
2025-04-27,106,66,12414.72,117.12,0,0,13.6,0
2025-04-28,76,52,8608.52,113.27,0,0,12.2,1
2025-04-29,85,56,10011.3,117.78,0,0,13.5,2
2025-04-30,82,52,9484.12,115.66,0,0,17.6,3
2025-05-01,85,55,9563.35,112.51,0,0,14.2,4
2025-05-02,88,60,10173.68,115.61,0,0,10.1,5
2025-05-03,112,72,12883.36,115.03,0,0,12.6,6
2025-05-04,102,67,12068.64,118.32,0,0,14.6,0
2025-05-05,81,54,9576.63,118.23,0,0,14.2,1
2025-05-06,87,56,10434.78,119.94,0,0,14.8,2
2025-05-07,131,84,14592.09,111.39,1,0,11.6,3
2025-05-08,95,59,11027.6,116.08,0,0,16.1,4
2025-05-09,86,56,10278.72,119.52,0,0,14.3,5
2025-05-10,106,67,12855.68,121.28,0,0,17.1,6
2025-05-11,99,68,11786.94,119.06,0,0,13.8,0
2025-05-12,82,57,9871.16,120.38,0,0,15.7,1
2025-05-13,85,52,10354.7,121.82,0,0,12.5,2
2025-05-14,85,52,10171.1,119.66,0,0,13.7,3
2025-05-15,87,56,10627.05,122.15,0,0,11.8,4
2025-05-16,81,54,9710.28,119.88,0,0,13.7,5
2025-05-17,107,67,12713.74,118.82,0,0,17,6
2025-05-18,104,66,12344.8,118.7,0,0,14.5,0
2025-05-19,78,48,9274.98,118.91,0,0,14.7,1
2025-05-20,77,50,9119.88,118.44,0,0,13.1,2
2025-05-21,69,41,8455.95,122.55,0,0,14,3
2025-05-22,103,63,11816.16,114.72,0,0,13.5,4
2025-05-23,86,60,10030.18,116.63,0,0,13.2,5
2025-05-24,109,69,12647.27,116.03,0,0,11.7,6
2025-05-25,99,63,11677.05,117.95,0,0,12.8,0
2025-05-26,75,50,8742.75,116.57,0,0,14.8,1
2025-05-27,129,80,13817.19,107.11,1,0,12.6,2
2025-05-28,125,83,13610,108.88,1,0,15.9,3
2025-05-29,86,51,10215.94,118.79,0,0,11.9,4
2025-05-30,96,64,11078.4,115.4,0,0,14.8,5
2025-05-31,106,66,12475.14,117.69,0,0,14.7,6
2025-06-01,103,71,12082.93,117.31,0,0,9.9,0
2025-06-02,117,77,12313.08,105.24,1,0,14,1
2025-06-03,115,75,12325.7,107.18,1,0,16.5,2
2025-06-04,132,85,14130.6,107.05,1,0,13.9,3
2025-06-05,122,81,13160.14,107.87,1,0,13.2,4
2025-06-06,100,64,11912,119.12,0,0,18.5,5
2025-06-07,111,73,13230.09,119.19,0,0,15.3,6
2025-06-08,94,60,11186,119,0,0,15.9,0
2025-06-09,77,47,9060.59,117.67,0,0,8.9,1
2025-06-10,72,47,8832.24,122.67,0,0,16.4,2
2025-06-11,87,56,10280.79,118.17,0,0,19.3,3
2025-06-12,82,52,9825.24,119.82,0,0,13.5,4
2025-06-13,92,59,11133.84,121.02,0,0,16,5
2025-06-14,117,75,13845.78,118.34,0,0,14.3,6
2025-06-15,109,67,13173.74,120.86,0,0,14.8,0
2025-06-16,72,49,8769.6,121.8,0,0,18.2,1
2025-06-17,81,53,9753.21,120.41,0,0,15.1,2
2025-06-18,92,56,11046.44,120.07,0,0,20.8,3
2025-06-19,85,55,10175.35,119.71,0,0,9.1,4
2025-06-20,99,64,11593.89,117.11,0,0,18.9,5
2025-06-21,115,76,13358.4,116.16,0,0,15,6
2025-06-22,150,96,16564.5,110.43,1,0,17.3,0
2025-06-23,70,42,8238.3,117.69,0,0,14.2,1
2025-06-24,81,54,9581.49,118.29,0,0,17.6,2
2025-06-25,75,48,8913,118.84,0,0,13.9,3
2025-06-26,97,64,11148.21,114.93,0,0,17.9,4
2025-06-27,144,91,15215.04,105.66,1,0,15,5
2025-06-28,111,71,13054.71,117.61,0,0,13.3,6
2025-06-29,105,67,11943.75,113.75,0,0,15.6,0
2025-06-30,78,50,8865.48,113.66,0,0,15.4,1
2025-07-01,136,85,14146.72,104.02,1,0,20.8,2
2025-07-02,91,59,10503.22,115.42,0,0,20.9,3
2025-07-03,94,63,11153.1,118.65,0,0,20.6,4
2025-07-04,96,61,11024.64,114.84,0,0,14.1,5
2025-07-05,120,79,13996.8,116.64,0,0,19.4,6
2025-07-06,114,74,13493.04,118.36,0,0,18.9,0
2025-07-07,85,55,9999.4,117.64,0,0,15.5,1
2025-07-08,81,52,9994.59,123.39,0,0,14.9,2
2025-07-09,84,50,10185.84,121.26,0,0,20,3
2025-07-10,93,59,10731.27,115.39,0,0,16.6,4
2025-07-11,134,87,14380.88,107.32,1,0,15.8,5
2025-07-12,130,84,15340,118,0,0,18.9,6
2025-07-13,115,74,13942.6,121.24,0,0,16,0
2025-07-14,93,57,11209.29,120.53,0,0,18.3,1
2025-07-15,85,54,10073.35,118.51,0,0,15.5,2
2025-07-16,118,79,13112.16,111.12,1,0,17.2,3
2025-07-17,92,59,10977.44,119.32,0,0,16.8,4
2025-07-18,107,69,12444.1,116.3,0,0,18.4,5
2025-07-19,122,76,14544.84,119.22,0,0,19.3,6
2025-07-20,136,87,15838.56,116.46,0,0,17.4,0
2025-07-21,81,54,9702.18,119.78,0,0,14.7,1
2025-07-22,83,53,9975.77,120.19,0,0,21.4,2
2025-07-23,91,57,10881.78,119.58,0,0,19.5,3
2025-07-24,95,61,11358.2,119.56,0,0,20.5,4
2025-07-25,154,94,16302.44,105.86,1,0,17.2,5
2025-07-26,123,79,14570.58,118.46,0,0,20.9,6
2025-07-27,121,83,14153.37,116.97,0,0,20,0
2025-07-28,137,91,14430.21,105.33,1,0,20.8,1
2025-07-29,123,80,13261.86,107.82,1,0,21.1,2
2025-07-30,136,85,14032.48,103.18,1,0,17.6,3
2025-07-31,138,91,14884.68,107.86,1,0,19.2,4
2025-08-01,110,65,12408,112.8,0,0,17.5,5
2025-08-02,141,87,16416.63,116.43,0,0,19.7,6
2025-08-03,166,108,17662.4,106.4,1,0,21.4,0
2025-08-04,92,59,11093.36,120.58,0,0,22.8,1
2025-08-05,93,59,10593.63,113.91,0,0,16.6,2
2025-08-06,140,85,15173.2,108.38,1,0,17.3,3
2025-08-07,94,61,10820.34,115.11,0,0,22.1,4
2025-08-08,107,69,12661.31,118.33,0,0,21.3,5
2025-08-09,130,82,15073.5,115.95,0,0,20,6
2025-08-10,173,111,19353.51,111.87,1,0,15.6,0
2025-08-11,94,58,10931.26,116.29,0,0,23.1,1
2025-08-12,144,93,15762.24,109.46,1,0,17.8,2
2025-08-13,100,68,11904,119.04,0,0,21.2,3
2025-08-14,140,88,15652,111.8,1,0,20.2,4
2025-08-15,116,73,13964.08,120.38,0,0,25.3,5
2025-08-16,141,93,16577.37,117.57,0,0,22.9,6
2025-08-17,127,81,14845.03,116.89,0,0,19.6,0
2025-08-18,84,55,9903.6,117.9,0,0,23.5,1
2025-08-19,85,55,10086.95,118.67,0,0,19.3,2
2025-08-20,103,67,12230.22,118.74,0,0,23.5,3
2025-08-21,111,71,13153.5,118.5,0,0,24.5,4
2025-08-22,112,67,13461.28,120.19,0,0,17.4,5
2025-08-23,135,89,15635.7,115.82,0,0,21.6,6
2025-08-24,170,106,18111.8,106.54,1,0,21,0
2025-08-25,95,59,11318.3,119.14,0,0,22.4,1
2025-08-26,104,68,12007.84,115.46,0,0,24,2
2025-08-27,105,65,12015.15,114.43,0,0,23.9,3
2025-08-28,127,82,14678.66,115.58,0,0,26.1,4
2025-08-29,121,76,14026.32,115.92,0,0,20.5,5
2025-08-30,142,88,16121.26,113.53,0,0,23.4,6
2025-08-31,142,91,16143.98,113.69,0,0,23.8,0
2025-09-01,105,65,11904.9,113.38,0,0,20.8,1
2025-09-02,102,72,11951.34,117.17,0,0,23.3,2
2025-09-03,108,69,12348.72,114.34,0,0,26.4,3
2025-09-04,109,73,12295.2,112.8,0,0,22.6,4
2025-09-05,121,77,14505.48,119.88,0,0,24.6,5
2025-09-06,145,92,16986.75,117.15,0,0,28.1,6
2025-09-07,141,93,16291.14,115.54,0,0,21.5,0
2025-09-08,105,64,12165.3,115.86,0,0,26.2,1
2025-09-09,115,73,13456.15,117.01,0,0,25.4,2
2025-09-10,103,66,12219.92,118.64,0,0,26,3
2025-09-11,110,69,13337.5,121.25,0,0,29.3,4
2025-09-12,113,71,13668.48,120.96,0,0,23.5,5
2025-09-13,135,86,16020.45,118.67,0,0,27.3,6
2025-09-14,168,109,18663.12,111.09,1,0,26.8,0
2025-09-15,96,59,11587.2,120.7,0,0,26,1
2025-09-16,104,64,12659.92,121.73,0,0,27.4,2
2025-09-17,106,68,12885.36,121.56,0,0,26.3,3
2025-09-18,115,75,13943.75,121.25,0,0,24.6,4
2025-09-19,165,105,18475.05,111.97,1,0,26.2,5
2025-09-20,131,82,15835.28,120.88,0,0,27.7,6
2025-09-21,146,92,17549.2,120.2,0,0,28.3,0
2025-09-22,147,90,16049.46,109.18,1,0,28.1,1
2025-09-23,144,96,15811.2,109.8,1,0,28.7,2
2025-09-24,156,104,16704.48,107.08,1,0,26.1,3
2025-09-25,168,109,18429.6,109.7,1,0,25.4,4
2025-09-26,119,77,13976.55,117.45,0,0,25.5,5
2025-09-27,154,97,17887.1,116.15,0,0,25.9,6
2025-09-28,176,115,18738.72,106.47,1,0,30.5,0
2025-09-29,113,75,12945.28,114.56,0,0,28.7,1
2025-09-30,96,61,11275.2,117.45,0,0,22.1,2
2025-10-01,106,67,11993.9,113.15,0,0,24.3,3
2025-10-02,122,78,13929.96,114.18,0,0,25.5,4
2025-10-03,175,109,18865,107.8,1,0,29.9,5
2025-10-04,154,102,18027.24,117.06,0,0,28.7,6
2025-10-05,141,91,16602.75,117.75,0,0,28.5,0
2025-10-06,98,62,11541.46,117.77,0,0,26.6,1
2025-10-07,114,74,13372.2,117.3,0,0,31.2,2
2025-10-08,123,77,13929.75,113.25,0,0,25.9,3
2025-10-09,121,74,14244.12,117.72,0,0,29.6,4
2025-10-10,127,82,14664.69,115.47,0,0,26.8,5
2025-10-11,161,102,18923.94,117.54,0,0,30.2,6
2025-10-12,136,88,16764.72,123.27,0,0,32.6,0
