customer_id,split,region,acquisition_channel,membership_tier,tenure_months,orders,spend,avg_basket,discount_share,return_rate,support_tickets,days_since_order,email_engagement,satisfaction_score,lifetime_value,category_affinities,recent_timeline,profile_summary,lifecycle_stage,price_sensitivity,purchase_cadence,churn_risk,next_best_action,evidence
C-00001,train,Western Australia,search,none,14,13,1123.49,86.42,0.217,0.127,1,39,0.534,8.5,1415.6,apparel|jackets|hydration,2026-05-22~$98~apparel+hydration~discount:0.16~returned:0|2026-04-17~$93~apparel~discount:0.18~returned:0|2026-03-17~$95~hydration+apparel~discount:0.17~returned:0|2026-02-14~$95~apparel+jackets~discount:0.23~returned:0|2026-01-12~$75~apparel+packs~discount:0.15~returned:0|2025-12-10~$94~footwear+apparel~discount:0.25~returned:1,active frequent shopper; strongest interest in apparel; medium price sensitivity; low churn risk,active,medium,frequent,low,Free shipping threshold reminder,days_since_order:39|orders:13|discount_share:0.217|return_rate:0.127|top_category:apparel
C-00024,train,South Australia,retail-store,silver,33,18,2362.52,131.25,0.165,0.124,0,23,0.857,10,3425.65,apparel|footwear|camp,2026-06-06~$182~apparel+footwear~discount:0.11~returned:0|2026-04-23~$118~apparel~discount:0.16~returned:0|2026-03-19~$167~footwear+apparel~discount:0.16~returned:0|2026-02-05~$173~accessories+apparel~discount:0.19~returned:1|2025-12-28~$136~apparel+recovery+camp~discount:0.18~returned:0|2025-11-17~$148~apparel~discount:0.17~returned:0,active regular shopper; strongest interest in apparel; medium price sensitivity; low churn risk,active,medium,regular,low,Loyalty upgrade with category cross-sell,days_since_order:23|orders:18|discount_share:0.165|return_rate:0.124|top_category:apparel
C-00025,train,South Australia,search,silver,23,7,536.94,76.71,0.341,0.146,4,101,0.185,6.8,724.87,camp|recovery,2026-03-12~$91~camp~discount:0.38~returned:0|2025-12-11~$100~recovery~discount:0.32~returned:0|2025-08-30~$87~camp~discount:0.35~returned:1|2025-05-26~$64~camp~discount:0.33~returned:0|2025-02-21~$58~camp~discount:0.27~returned:0|2024-11-10~$74~camp~discount:0.34~returned:0,at-risk occasional shopper; strongest interest in camp; high price sensitivity; high churn risk,at-risk,high,occasional,high,Win-back offer with service recovery,days_since_order:101|orders:7|discount_share:0.341|return_rate:0.146|top_category:camp
C-00026,train,Queensland,paid-social,gold,36,43,7690.62,178.85,0.115,0.018,0,1,0.847,8.6,11382.12,jackets|footwear|recovery,2026-06-27~$247~jackets+recovery+apparel+hydration+footwear~discount:0.16~returned:0|2026-06-10~$196~jackets+apparel+hydration~discount:0.11~returned:0|2026-05-27~$102~jackets~discount:0.14~returned:0|2026-05-08~$219~jackets~discount:0.24~returned:0|2026-04-17~$214~jackets+hydration~discount:0.11~returned:0|2026-03-31~$170~jackets+accessories~discount:0.16~returned:0,loyal frequent shopper; strongest interest in jackets; low price sensitivity; low churn risk,loyal,low,frequent,low,Early access and premium bundle,days_since_order:1|orders:43|discount_share:0.115|return_rate:0.018|top_category:jackets
C-00027,train,Victoria,organic,silver,33,22,2755.82,125.26,0.129,0,2,20,0.525,8.5,3995.94,apparel|footwear|jackets,2026-06-07~$129~apparel+jackets~discount:0.07~returned:0|2026-05-08~$128~apparel+footwear~discount:0.23~returned:0|2026-04-04~$148~camp+apparel~discount:0.13~returned:0|2026-03-02~$162~apparel~discount:0.15~returned:0|2026-01-30~$113~apparel~discount:0.14~returned:0|2025-12-23~$132~recovery+apparel~discount:0.1~returned:0,loyal regular shopper; strongest interest in apparel; low price sensitivity; low churn risk,loyal,low,regular,low,Loyalty upgrade with category cross-sell,days_since_order:20|orders:22|discount_share:0.129|return_rate:0|top_category:apparel
C-00028,train,Victoria,search,none,11,4,295.06,73.76,0.212,0.067,0,23,0.605,8.8,362.92,accessories|camp|hydration,2026-06-07~$71~accessories+camp~discount:0.23~returned:0|2026-02-23~$83~accessories~discount:0.18~returned:0|2025-11-08~$58~accessories+recovery~discount:0.13~returned:0|2025-07-31~$83~accessories+hydration~discount:0.2~returned:1,active regular shopper; strongest interest in accessories; medium price sensitivity; low churn risk,active,medium,regular,low,Second-purchase education sequence,days_since_order:23|orders:4|discount_share:0.212|return_rate:0.067|top_category:accessories
C-00029,validation,Victoria,search,none,17,15,1152.55,76.84,0.263,0.155,0,25,0.548,8.1,1486.79,packs|footwear|recovery,2026-06-02~$84~recovery+packs~discount:0.22~returned:0|2026-04-25~$66~camp+hydration~discount:0.32~returned:1|2026-03-26~$79~packs~discount:0.29~returned:0|2026-02-18~$89~footwear+packs~discount:0.31~returned:0|2026-01-13~$68~packs+camp~discount:0.3~returned:0|2025-12-13~$85~packs~discount:0.24~returned:1,active frequent shopper; strongest interest in packs; medium price sensitivity; low churn risk,active,medium,frequent,low,Free shipping threshold reminder,days_since_order:25|orders:15|discount_share:0.263|return_rate:0.155|top_category:packs
C-00030,test,South Australia,organic,gold,30,11,1873.02,170.27,0.078,0.068,0,6,0.98,8.9,2659.69,apparel|accessories|camp,2026-06-23~$149~apparel+footwear~discount:0.06~returned:1|2026-04-12~$173~apparel+recovery+jackets~discount:0.1~returned:0|2026-02-02~$137~apparel~discount:0.12~returned:0|2025-11-25~$170~apparel+recovery~discount:0.09~returned:0|2025-09-16~$162~apparel+jackets+accessories~discount:0.11~returned:0|2025-07-10~$142~apparel~discount:0.01~returned:1,active regular shopper; strongest interest in apparel; low price sensitivity; low churn risk,active,low,regular,low,Early access and premium bundle,days_since_order:6|orders:11|discount_share:0.078|return_rate:0.068|top_category:apparel
C-00031,train,Western Australia,search,bronze,17,5,354.63,70.93,0.208,0.078,1,17,0.608,7.8,457.47,apparel|accessories|jackets,2026-06-03~$84~apparel~discount:0.1~returned:0|2026-02-10~$61~apparel~discount:0.19~returned:0|2025-09-30~$64~apparel~discount:0.23~returned:0|2025-06-04~$65~jackets~discount:0.3~returned:0|2025-01-30~$81~accessories~discount:0.21~returned:0,at-risk occasional shopper; strongest interest in apparel; medium price sensitivity; low churn risk,at-risk,medium,occasional,low,Second-purchase education sequence,days_since_order:17|orders:5|discount_share:0.208|return_rate:0.078|top_category:apparel
C-00032,train,Queensland,paid-social,gold,33,33,5747.42,174.16,0.12,0.054,0,13,0.968,9.7,8333.76,hydration|jackets|apparel,2026-06-15~$140~hydration+jackets~discount:0.2~returned:0|2026-05-27~$190~footwear+hydration~discount:0.02~returned:0|2026-05-04~$210~hydration+recovery~discount:0.13~returned:0|2026-04-12~$163~hydration~discount:0.17~returned:0|2026-03-19~$218~accessories+hydration~discount:0.05~returned:0|2026-02-26~$102~footwear+hydration~discount:0.09~returned:0,loyal frequent shopper; strongest interest in hydration; low price sensitivity; low churn risk,loyal,low,frequent,low,Early access and premium bundle,days_since_order:13|orders:33|discount_share:0.12|return_rate:0.054|top_category:hydration
C-00033,train,Queensland,referral,none,16,8,667.37,83.42,0.166,0.144,2,24,0.465,8.7,854.23,recovery|hydration|footwear,2026-06-05~$79~hydration~discount:0.09~returned:0|2026-03-31~$65~recovery~discount:0.24~returned:0|2026-01-24~$87~footwear+recovery+hydration~discount:0.08~returned:1|2025-11-21~$69~recovery~discount:0.16~returned:1|2025-09-11~$115~recovery~discount:0.16~returned:1|2025-07-13~$99~hydration+recovery~discount:0.1~returned:0,active regular shopper; strongest interest in recovery; medium price sensitivity; low churn risk,active,medium,regular,low,Free shipping threshold reminder,days_since_order:24|orders:8|discount_share:0.166|return_rate:0.144|top_category:recovery
C-00034,train,New South Wales,referral,none,27,6,459.25,76.54,0.164,0.063,1,43,0.71,8.6,638.36,apparel|packs|footwear,2026-05-17~$84~apparel~discount:0.2~returned:0|2025-12-29~$82~apparel+jackets~discount:0.19~returned:0|2025-08-28~$56~apparel~discount:0.15~returned:0|2025-04-16~$84~packs~discount:0.19~returned:0|2024-12-04~$62~footwear~discount:0.15~returned:0|2024-07-29~$92~apparel~discount:0.13~returned:0,active occasional shopper; strongest interest in apparel; medium price sensitivity; low churn risk,active,medium,occasional,low,Free shipping threshold reminder,days_since_order:43|orders:6|discount_share:0.164|return_rate:0.063|top_category:apparel
C-00035,train,New South Wales,retail-store,bronze,20,15,1305.69,87.05,0.161,0.044,1,33,0.562,9.3,1723.51,footwear|accessories|jackets,2026-05-24~$83~accessories+footwear~discount:0.19~returned:1|2026-04-12~$84~accessories+footwear~discount:0.18~returned:0|2026-02-26~$97~footwear~discount:0.2~returned:0|2026-01-26~$79~footwear~discount:0.26~returned:0|2025-12-14~$51~camp~discount:0.17~returned:0|2025-10-31~$94~footwear+camp~discount:0.28~returned:0,active frequent shopper; strongest interest in footwear; medium price sensitivity; low churn risk,active,medium,frequent,low,Free shipping threshold reminder,days_since_order:33|orders:15|discount_share:0.161|return_rate:0.044|top_category:footwear
C-00036,train,New South Wales,retail-store,silver,38,17,2341.94,137.76,0.062,0.068,0,18,0.689,8.1,3512.91,recovery|hydration|apparel,2026-06-11~$163~recovery~discount:0.1~returned:0|2026-04-28~$142~recovery~discount:0.06~returned:0|2026-03-18~$93~hydration~discount:0.06~returned:0|2026-02-03~$128~recovery~discount:0.12~returned:0|2025-12-19~$137~hydration+recovery~discount:0~returned:0|2025-11-05~$132~recovery~discount:0.14~returned:0,active regular shopper; strongest interest in recovery; low price sensitivity; low churn risk,active,low,regular,low,Loyalty upgrade with category cross-sell,days_since_order:18|orders:17|discount_share:0.062|return_rate:0.068|top_category:recovery
C-00037,train,Queensland,paid-social,none,19,10,1001.75,100.17,0.318,0.063,1,18,0.561,8.1,1312.29,recovery|accessories|jackets,2026-06-07~$110~recovery~discount:0.27~returned:0|2026-04-08~$77~recovery~discount:0.34~returned:0|2026-01-30~$94~accessories~discount:0.31~returned:0|2025-12-04~$125~recovery~discount:0.29~returned:0|2025-10-05~$87~jackets~discount:0.36~returned:0|2025-08-08~$110~apparel+recovery~discount:0.29~returned:0,at-risk regular shopper; strongest interest in recovery; high price sensitivity; low churn risk,at-risk,high,regular,low,Free shipping threshold reminder,days_since_order:18|orders:10|discount_share:0.318|return_rate:0.063|top_category:recovery
C-00038,train,Queensland,search,none,2,2,143.99,72,0.226,0.052,1,18,0.548,7.9,164.15,hydration|jackets,2026-06-05~$67~jackets~discount:0.22~returned:0|2026-05-01~$77~hydration~discount:0.19~returned:0,new frequent shopper; strongest interest in hydration; medium price sensitivity; low churn risk,new,medium,frequent,low,Second-purchase education sequence,days_since_order:18|orders:2|discount_share:0.226|return_rate:0.052|top_category:hydration
C-00039,validation,Tasmania,search,bronze,29,15,1231.78,82.12,0.072,0.134,0,25,0.695,6.6,1736.81,apparel|recovery|camp,2026-06-02~$85~apparel~discount:0.05~returned:0|2026-04-17~$107~apparel+packs~discount:0.04~returned:0|2026-02-27~$70~apparel+jackets~discount:0.02~returned:0|2026-01-03~$62~apparel~discount:0.11~returned:0|2025-11-20~$68~recovery~discount:0.01~returned:1|2025-10-05~$98~apparel~discount:0.04~returned:0,active regular shopper; strongest interest in apparel; low price sensitivity; low churn risk,active,low,regular,low,Free shipping threshold reminder,days_since_order:25|orders:15|discount_share:0.072|return_rate:0.134|top_category:apparel
C-00040,test,Victoria,search,silver,20,13,1177.42,90.57,0.237,0.156,2,31,0.337,9.1,1554.19,accessories|footwear|hydration,2026-05-29~$109~accessories~discount:0.27~returned:1|2026-04-11~$96~accessories~discount:0.17~returned:0|2026-02-23~$86~accessories~discount:0.17~returned:0|2026-01-07~$77~accessories~discount:0.21~returned:1|2025-11-17~$88~packs+accessories~discount:0.26~returned:0|2025-10-02~$89~accessories~discount:0.26~returned:1,active regular shopper; strongest interest in accessories; medium price sensitivity; low churn risk,active,medium,regular,low,Free shipping threshold reminder,days_since_order:31|orders:13|discount_share:0.237|return_rate:0.156|top_category:accessories
C-00041,train,New South Wales,retail-store,bronze,24,10,755.7,75.57,0.124,0.101,1,20,0.55,8.4,1027.75,hydration|accessories|apparel,2026-06-06~$85~hydration+jackets~discount:0.2~returned:0|2026-03-24~$97~hydration+apparel~discount:0.04~returned:0|2026-01-09~$49~hydration~discount:0.05~returned:0|2025-10-26~$63~hydration~discount:0.2~returned:0|2025-08-09~$114~hydration+accessories~discount:0.09~returned:1|2025-05-25~$57~hydration~discount:0.07~returned:0,active regular shopper; strongest interest in hydration; low price sensitivity; low churn risk,active,low,regular,low,Free shipping threshold reminder,days_since_order:20|orders:10|discount_share:0.124|return_rate:0.101|top_category:hydration
C-00042,train,Tasmania,organic,bronze,16,12,985.85,82.15,0.185,0.044,1,28,0.504,7.4,1261.89,apparel|accessories|recovery,2026-05-30~$77~apparel~discount:0.1~returned:0|2026-04-20~$59~apparel~discount:0.04~returned:0|2026-03-08~$70~recovery~discount:0.26~returned:0|2026-01-28~$71~accessories~discount:0.19~returned:0|2025-12-16~$102~apparel~discount:0.21~returned:0|2025-11-03~$74~apparel~discount:0.13~returned:0,active frequent shopper; strongest interest in apparel; medium price sensitivity; low churn risk,active,medium,frequent,low,Free shipping threshold reminder,days_since_order:28|orders:12|discount_share:0.185|return_rate:0.044|top_category:apparel
