order_id,customer_id,order_date,sales_channel,campaign,discount_rate,order_total,items,returned
O-0000078,C-00007,2026-04-27,retail-store,cart-recovery,0.35,83.38,1,0
O-0000079,C-00007,2026-05-10,retail-store,winter-layering,0.35,80.75,1,0
O-0000080,C-00007,2026-05-18,online,winter-layering,0.27,35.65,1,1
O-0000081,C-00007,2026-06-06,online,always-on,0.31,59.09,1,0
O-0000082,C-00008,2024-07-25,online,cart-recovery,0.32,78.44,1,0
O-0000083,C-00008,2024-11-20,online,always-on,0.42,71.48,1,0
O-0000084,C-00008,2025-03-17,online,member-event,0.26,74.54,1,0
O-0000085,C-00008,2025-07-16,online,member-event,0.29,70.14,1,0
O-0000086,C-00008,2025-11-09,online,cart-recovery,0.42,65.13,1,0
O-0000087,C-00008,2026-03-10,online,winter-layering,0.32,63.6,3,0
O-0000088,C-00009,2026-04-27,retail-store,winter-layering,0.28,66.69,1,0
O-0000089,C-00009,2026-05-08,online,always-on,0.3,84.44,1,0
O-0000090,C-00009,2026-05-22,online,always-on,0.35,69.13,2,1
O-0000091,C-00009,2026-05-30,online,always-on,0.33,67.04,2,1
O-0000092,C-00009,2026-06-12,online,cart-recovery,0.34,61.91,1,0
O-0000093,C-00010,2024-07-30,online,cart-recovery,0.18,87.81,1,0
O-0000094,C-00010,2024-10-10,online,cart-recovery,0.29,67.31,1,0
O-0000095,C-00010,2024-12-22,retail-store,trail-season,0.24,54.85,1,0
O-0000096,C-00010,2025-03-05,retail-store,always-on,0.19,93.92,2,0
O-0000097,C-00010,2025-05-20,online,winter-layering,0.28,78.52,3,0
O-0000098,C-00010,2025-08-01,online,always-on,0.18,100.22,1,0
O-0000099,C-00010,2025-10-14,online,member-event,0.2,46.71,1,0
O-0000100,C-00010,2025-12-29,retail-store,trail-season,0.24,102.58,2,0
O-0000101,C-00010,2026-03-13,online,winter-layering,0.22,71.55,3,0
O-0000102,C-00010,2026-05-26,retail-store,cart-recovery,0.38,89.44,2,0
O-0000103,C-00011,2024-12-07,retail-store,trail-season,0.27,65.82,1,0
O-0000104,C-00011,2026-06-08,online,trail-season,0.32,60.72,1,0
O-0000105,C-00012,2024-07-24,online,always-on,0.25,77.68,1,0
O-0000106,C-00012,2024-09-10,retail-store,winter-layering,0.24,65.85,1,0
O-0000107,C-00012,2024-10-19,online,always-on,0.2,92.54,3,0
O-0000108,C-00012,2024-12-03,online,always-on,0.16,84.53,2,0
O-0000109,C-00012,2025-01-15,online,always-on,0.19,72.6,1,0
O-0000110,C-00012,2025-02-25,retail-store,trail-season,0.14,86.36,3,0
O-0000111,C-00012,2025-04-07,online,member-event,0.23,90.59,1,0
O-0000112,C-00012,2025-05-19,retail-store,trail-season,0.21,108.94,1,0
O-0000113,C-00012,2025-06-28,online,cart-recovery,0.15,110.91,1,0
O-0000114,C-00012,2025-08-09,online,winter-layering,0.2,99.62,1,0
O-0000115,C-00012,2025-09-22,online,cart-recovery,0.12,70.78,1,0
O-0000116,C-00012,2025-11-02,online,member-event,0.14,77.73,1,0
O-0000117,C-00012,2025-12-16,online,always-on,0.23,31.91,1,1
O-0000118,C-00012,2026-01-28,online,always-on,0.2,65.02,1,0
O-0000119,C-00012,2026-03-09,retail-store,member-event,0.2,67.57,1,0
O-0000120,C-00012,2026-04-22,online,winter-layering,0.18,73.74,3,0
O-0000121,C-00012,2026-05-28,online,member-event,0.22,91.38,2,1
O-0000122,C-00013,2024-07-24,online,member-event,0.23,90.26,1,0
O-0000123,C-00013,2024-09-18,online,trail-season,0.18,91.25,1,0
O-0000124,C-00013,2024-11-12,online,cart-recovery,0.25,79.53,2,0
O-0000125,C-00013,2025-01-12,online,always-on,0.19,52.67,1,0
O-0000126,C-00013,2025-03-06,online,member-event,0.15,75.47,2,1
O-0000127,C-00013,2025-04-29,online,trail-season,0.26,81.15,1,0
O-0000128,C-00013,2025-06-24,retail-store,member-event,0.13,65.5,1,0
O-0000129,C-00013,2025-08-19,online,member-event,0.19,101.88,2,0
O-0000130,C-00013,2025-10-09,online,member-event,0.17,87.8,1,0
O-0000131,C-00013,2025-12-07,online,winter-layering,0.14,76.19,1,1
O-0000132,C-00013,2026-01-29,online,trail-season,0.26,76.58,3,0
O-0000133,C-00013,2026-03-29,online,winter-layering,0.2,83.08,2,0
O-0000134,C-00013,2026-05-20,online,cart-recovery,0.14,81.61,1,0
O-0000135,C-00014,2025-03-05,online,winter-layering,0.1,70.32,2,0
O-0000136,C-00014,2025-04-20,online,always-on,0.11,72.07,1,0
O-0000137,C-00014,2025-06-04,online,trail-season,0.07,67.15,2,0
O-0000138,C-00014,2025-07-17,online,trail-season,0.06,51.41,1,0
O-0000139,C-00014,2025-09-01,online,winter-layering,0.17,103.26,3,0
O-0000140,C-00014,2025-10-12,retail-store,cart-recovery,0.08,87.08,2,0
O-0000141,C-00014,2025-11-29,online,always-on,0.12,104.57,2,0
O-0000142,C-00014,2026-01-12,retail-store,always-on,0.17,52.94,1,0
O-0000143,C-00014,2026-02-21,online,trail-season,0.21,72.02,3,0
O-0000144,C-00014,2026-04-15,online,winter-layering,0.25,95.42,1,1
O-0000145,C-00014,2026-05-27,online,winter-layering,0.08,71.7,2,0
O-0000146,C-00015,2026-03-30,online,member-event,0.39,91.47,1,0
O-0000147,C-00015,2026-04-12,online,winter-layering,0.3,67.99,2,0
O-0000148,C-00015,2026-04-22,retail-store,winter-layering,0.32,56.01,2,0
O-0000149,C-00015,2026-05-03,retail-store,member-event,0.29,53.37,1,0
O-0000150,C-00015,2026-05-17,online,always-on,0.25,72.14,1,0
O-0000151,C-00015,2026-05-24,online,winter-layering,0.33,77.57,2,0
O-0000152,C-00015,2026-06-09,online,cart-recovery,0.3,48.31,3,0
O-0000153,C-00016,2026-04-28,online,trail-season,0.17,45.02,1,0
O-0000154,C-00016,2026-05-12,online,cart-recovery,0.15,71.49,1,0
O-0000155,C-00016,2026-05-24,retail-store,cart-recovery,0.14,55.7,1,0
O-0000156,C-00016,2026-06-09,online,winter-layering,0.13,58.27,1,0
O-0000157,C-00017,2024-08-08,retail-store,member-event,0.08,99.16,2,0
O-0000158,C-00017,2024-10-01,online,member-event,0.09,91.86,2,0
O-0000159,C-00017,2024-12-05,online,cart-recovery,0.13,103.36,2,0
O-0000160,C-00017,2025-02-02,retail-store,cart-recovery,0.13,85.05,1,0
O-0000161,C-00017,2025-04-05,online,member-event,0.2,98.29,3,0
O-0000162,C-00017,2025-06-04,retail-store,trail-season,0.08,52.55,2,1
O-0000163,C-00017,2025-08-01,online,trail-season,0.16,87.49,1,0
O-0000164,C-00017,2025-09-29,online,winter-layering,0.03,78.04,1,0
O-0000165,C-00017,2025-11-29,retail-store,cart-recovery,0.17,119.54,2,0
O-0000166,C-00017,2026-01-27,online,cart-recovery,0.1,73.58,1,0
O-0000167,C-00017,2026-03-23,online,trail-season,0.1,72.17,1,0
O-0000168,C-00017,2026-05-30,retail-store,trail-season,0.23,41.16,2,0
O-0000169,C-00018,2024-07-27,online,always-on,0.22,93.49,1,0
O-0000170,C-00018,2024-12-10,retail-store,winter-layering,0.26,70.72,2,0
O-0000171,C-00018,2025-04-23,retail-store,winter-layering,0.17,72.67,2,0
O-0000172,C-00018,2025-09-02,online,trail-season,0.21,92.49,2,0
O-0000173,C-00018,2026-01-14,online,cart-recovery,0.25,32.67,1,0
O-0000174,C-00018,2026-05-29,online,cart-recovery,0.2,74.32,2,0
O-0000175,C-00019,2024-07-24,retail-store,cart-recovery,0.29,87.97,3,0
O-0000176,C-00019,2024-10-31,online,member-event,0.37,79.3,1,0
O-0000177,C-00019,2025-02-15,online,member-event,0.41,108.07,1,0
O-0000178,C-00019,2025-05-25,online,cart-recovery,0.36,66.3,1,0
O-0000179,C-00019,2025-08-30,online,cart-recovery,0.38,47.79,1,0
O-0000180,C-00019,2025-12-13,online,always-on,0.43,75.75,3,0
O-0000181,C-00019,2026-03-23,online,trail-season,0.42,77.39,2,0
O-0000182,C-00020,2026-05-01,online,member-event,0.24,41.03,1,0
O-0000183,C-00020,2026-05-08,online,winter-layering,0.36,96.87,3,0
O-0000184,C-00020,2026-05-16,online,cart-recovery,0.24,49.43,1,0
O-0000185,C-00020,2026-05-24,online,cart-recovery,0.31,50.82,1,0
O-0000186,C-00020,2026-05-28,online,member-event,0.17,78.41,1,0
O-0000187,C-00020,2026-06-06,online,always-on,0.35,52.41,1,0
O-0000188,C-00021,2024-07-29,online,member-event,0.07,104.35,3,1
O-0000189,C-00021,2024-09-19,retail-store,member-event,0.09,100.35,3,0
O-0000190,C-00021,2024-11-11,online,trail-season,0.13,106.61,2,0
O-0000191,C-00021,2024-12-29,online,member-event,0.21,89.48,1,0
O-0000192,C-00021,2025-02-19,online,winter-layering,0.15,94.9,1,0
O-0000193,C-00021,2025-04-15,online,member-event,0.11,92.58,1,0
O-0000194,C-00021,2025-06-06,online,member-event,0.13,73.76,3,0
O-0000195,C-00021,2025-07-28,online,trail-season,0.12,105.65,1,0
O-0000196,C-00021,2025-09-14,online,winter-layering,0.16,49.58,2,0
O-0000197,C-00021,2025-11-05,online,cart-recovery,0.06,120.46,2,0
O-0000198,C-00021,2025-12-27,online,always-on,0.13,54.83,2,0
O-0000199,C-00021,2026-02-19,online,trail-season,0.09,70.46,1,0
O-0000200,C-00021,2026-04-11,online,cart-recovery,0.23,96.74,2,0
O-0000201,C-00021,2026-05-29,online,trail-season,0.16,83.93,2,0
O-0000202,C-00022,2024-09-04,online,always-on,0.41,74.71,2,0
O-0000203,C-00022,2024-11-12,retail-store,cart-recovery,0.28,82.19,2,0
O-0000204,C-00022,2025-01-16,online,cart-recovery,0.2,64.9,1,0
O-0000205,C-00022,2025-03-29,online,member-event,0.16,71.39,1,0
O-0000206,C-00022,2025-05-28,retail-store,always-on,0.32,79.51,1,0
O-0000207,C-00022,2025-08-10,online,member-event,0.22,71.65,1,0
O-0000208,C-00022,2025-10-13,online,always-on,0.24,75.19,1,0
O-0000209,C-00022,2025-12-22,online,cart-recovery,0.19,78.28,1,0
O-0000210,C-00022,2026-03-03,retail-store,trail-season,0.26,82.98,1,0
O-0000211,C-00023,2024-07-25,online,always-on,0.27,200.38,1,0
O-0000212,C-00023,2024-08-30,online,cart-recovery,0.16,225.7,5,0
O-0000213,C-00023,2024-09-30,online,winter-layering,0.05,114.3,1,0
O-0000214,C-00023,2024-10-30,online,trail-season,0.19,166.85,3,0
O-0000215,C-00023,2024-12-02,online,trail-season,0.14,154.69,5,0
O-0000216,C-00023,2025-01-01,online,trail-season,0.13,117.79,1,0
O-0000217,C-00023,2025-01-29,online,trail-season,0.14,165.11,3,0
O-0000218,C-00023,2025-03-05,online,always-on,0.16,180.44,4,0
O-0000219,C-00023,2025-04-06,online,cart-recovery,0.21,80.52,2,0
O-0000220,C-00023,2025-05-09,retail-store,trail-season,0.13,172.87,4,0
O-0000221,C-00023,2025-06-06,retail-store,trail-season,0.21,148.96,4,0
O-0000222,C-00023,2025-07-10,online,always-on,0.13,204.85,5,0
O-0000223,C-00023,2025-08-11,retail-store,trail-season,0.16,114.72,1,0
O-0000224,C-00023,2025-09-08,online,member-event,0.19,199.12,3,0
O-0000225,C-00023,2025-10-13,online,trail-season,0.17,181.46,4,0
O-0000226,C-00023,2025-11-13,online,member-event,0.17,185.83,3,0
O-0000227,C-00023,2025-12-15,online,winter-layering,0.22,192.35,2,0
O-0000228,C-00023,2026-01-14,retail-store,member-event,0.14,165.23,3,0
O-0000229,C-00023,2026-02-17,online,always-on,0.19,225.88,4,0
O-0000230,C-00023,2026-03-20,online,trail-season,0.12,218.08,5,0
O-0000231,C-00023,2026-04-19,online,trail-season,0.14,179.87,3,0
O-0000232,C-00023,2026-05-19,online,always-on,0.15,158.55,2,0
O-0000233,C-00023,2026-06-19,online,cart-recovery,0.14,203.71,3,0
O-0000234,C-00024,2024-07-26,online,member-event,0.27,130.97,2,0
O-0000235,C-00024,2024-09-06,online,trail-season,0.18,109.01,1,0
O-0000236,C-00024,2024-10-15,retail-store,trail-season,0.22,137.39,2,0
O-0000237,C-00024,2024-11-22,online,member-event,0.08,171.23,1,0
O-0000238,C-00024,2024-12-28,retail-store,cart-recovery,0.08,113.9,3,0
O-0000239,C-00024,2025-02-10,online,trail-season,0.19,129.57,3,0
O-0000240,C-00024,2025-03-25,retail-store,trail-season,0.2,90.7,1,0
O-0000241,C-00024,2025-04-30,online,trail-season,0.08,153.61,2,0
O-0000242,C-00024,2025-06-07,online,winter-layering,0.18,136.68,1,0
O-0000243,C-00024,2025-07-15,online,cart-recovery,0.12,137.39,1,0
O-0000244,C-00024,2025-08-30,online,member-event,0.1,54.38,1,1
O-0000245,C-00024,2025-10-07,online,member-event,0.19,73.82,3,0
O-0000246,C-00024,2025-11-17,online,winter-layering,0.17,147.97,1,0
O-0000247,C-00024,2025-12-28,online,cart-recovery,0.18,135.75,3,0
O-0000248,C-00024,2026-02-05,online,cart-recovery,0.19,173.1,2,1
O-0000249,C-00024,2026-03-19,online,member-event,0.16,167.15,2,0
O-0000250,C-00024,2026-04-23,online,winter-layering,0.16,117.77,1,0
O-0000251,C-00024,2026-06-06,online,cart-recovery,0.11,182.13,3,0
O-0000252,C-00025,2024-08-06,online,trail-season,0.26,63.35,1,0
O-0000253,C-00025,2024-11-10,online,member-event,0.34,73.92,2,0
O-0000254,C-00025,2025-02-21,retail-store,cart-recovery,0.27,57.51,1,0
O-0000255,C-00025,2025-05-26,retail-store,cart-recovery,0.33,63.69,3,0
O-0000256,C-00025,2025-08-30,online,trail-season,0.35,87.08,1,1
O-0000257,C-00025,2025-12-11,online,cart-recovery,0.32,100.01,1,0
O-0000258,C-00025,2026-03-12,online,trail-season,0.38,91.38,3,0
O-0000259,C-00026,2024-07-24,retail-store,always-on,0,177.82,2,1
O-0000260,C-00026,2024-08-14,online,cart-recovery,0.13,201.47,3,0
O-0000261,C-00026,2024-08-24,online,always-on,0.08,163.8,2,0
O-0000262,C-00026,2024-09-17,online,always-on,0.09,146.22,3,0
O-0000263,C-00026,2024-10-04,retail-store,always-on,0.08,162.24,3,0
O-0000264,C-00026,2024-10-17,online,member-event,0.13,181.22,1,0
O-0000265,C-00026,2024-11-04,retail-store,trail-season,0.12,190.74,2,0
O-0000266,C-00026,2024-11-20,online,trail-season,0.04,203.59,4,0
O-0000267,C-00026,2024-12-06,retail-store,trail-season,0.05,138.74,2,0
O-0000268,C-00026,2024-12-20,online,cart-recovery,0.14,171.17,2,0
O-0000269,C-00026,2025-01-09,online,cart-recovery,0.13,186.43,4,0
O-0000270,C-00026,2025-01-29,retail-store,member-event,0.07,177.54,2,0
O-0000271,C-00026,2025-02-13,online,winter-layering,0.06,209.65,3,0
O-0000272,C-00026,2025-03-03,online,winter-layering,0.05,158.93,2,0
O-0000273,C-00026,2025-03-18,online,winter-layering,0.09,171.3,3,0
O-0000274,C-00026,2025-03-30,online,winter-layering,0.09,181.63,4,0
O-0000275,C-00026,2025-04-17,online,always-on,0.11,186.5,4,0
O-0000276,C-00026,2025-05-02,online,member-event,0.12,153.9,3,0
O-0000277,C-00026,2025-05-22,online,trail-season,0.07,252.63,5,0
O-0000278,C-00026,2025-06-11,online,cart-recovery,0.11,159.47,3,0
O-0000279,C-00026,2025-06-27,online,winter-layering,0.01,91.51,1,0
O-0000280,C-00026,2025-07-13,retail-store,winter-layering,0.11,207.76,4,0
O-0000281,C-00026,2025-07-22,retail-store,winter-layering,0.09,123.6,2,0
O-0000282,C-00026,2025-08-08,online,winter-layering,0.09,176.85,3,0
O-0000283,C-00026,2025-08-31,retail-store,member-event,0.05,187.6,4,0
O-0000284,C-00026,2025-09-15,online,always-on,0.12,182.37,2,0
O-0000285,C-00026,2025-10-05,retail-store,winter-layering,0.11,197.61,4,0
O-0000286,C-00026,2025-10-22,online,winter-layering,0.12,247.36,5,0
O-0000287,C-00026,2025-11-07,online,member-event,0.13,163.62,5,0
O-0000288,C-00026,2025-11-21,retail-store,cart-recovery,0.13,122.54,2,0
O-0000289,C-00026,2025-12-11,retail-store,cart-recovery,0.11,194.97,2,0
O-0000290,C-00026,2025-12-28,retail-store,member-event,0.11,167.83,2,0
O-0000291,C-00026,2026-01-12,online,winter-layering,0.09,196.8,3,0
O-0000292,C-00026,2026-01-28,online,always-on,0.16,150.75,4,0
O-0000293,C-00026,2026-02-15,online,trail-season,0.11,165.2,4,0
O-0000294,C-00026,2026-03-04,online,winter-layering,0.06,178.07,1,0
O-0000295,C-00026,2026-03-21,retail-store,cart-recovery,0.12,212.1,4,0
O-0000296,C-00026,2026-03-31,online,trail-season,0.16,170.36,2,0
O-0000297,C-00026,2026-04-17,online,cart-recovery,0.11,214.28,4,0
O-0000298,C-00026,2026-05-08,retail-store,always-on,0.24,219.2,4,0
O-0000299,C-00026,2026-05-27,retail-store,winter-layering,0.14,102.27,1,0
O-0000300,C-00026,2026-06-10,online,winter-layering,0.11,195.63,5,0
O-0000301,C-00026,2026-06-27,online,winter-layering,0.16,247.35,5,0
O-0000302,C-00027,2024-07-20,online,trail-season,0.23,137.8,3,0
O-0000303,C-00027,2024-08-20,retail-store,winter-layering,0.13,128.14,3,0
O-0000304,C-00027,2024-10-02,retail-store,winter-layering,0.19,122.35,1,0
O-0000305,C-00027,2024-10-31,online,cart-recovery,0.16,96.23,3,0
O-0000306,C-00027,2024-12-03,online,winter-layering,0.19,144.47,3,0
O-0000307,C-00027,2025-01-07,online,member-event,0.18,171.39,3,0
O-0000308,C-00027,2025-02-05,online,member-event,0.13,77.35,1,0
O-0000309,C-00027,2025-03-09,online,member-event,0.2,52.62,1,0
O-0000310,C-00027,2025-04-12,online,member-event,0.18,131.6,2,0
O-0000311,C-00027,2025-05-11,online,winter-layering,0.15,155.66,3,0
O-0000312,C-00027,2025-06-17,online,member-event,0.1,154.78,3,0
O-0000313,C-00027,2025-07-15,online,member-event,0.04,130.88,4,0
O-0000314,C-00027,2025-08-21,online,winter-layering,0.08,132.12,1,0
O-0000315,C-00027,2025-09-20,retail-store,winter-layering,0.11,117.92,2,0
O-0000316,C-00027,2025-10-24,online,always-on,0.15,107.68,3,0
O-0000317,C-00027,2025-11-24,online,cart-recovery,0.07,83.09,1,0
O-0000318,C-00027,2025-12-23,online,winter-layering,0.1,131.58,2,0
O-0000319,C-00027,2026-01-30,online,member-event,0.14,113.19,1,0
O-0000320,C-00027,2026-03-02,online,cart-recovery,0.15,161.69,3,0
O-0000321,C-00027,2026-04-04,online,member-event,0.13,148.04,3,0
O-0000322,C-00027,2026-05-08,retail-store,member-event,0.23,127.78,4,0
O-0000323,C-00027,2026-06-07,online,always-on,0.07,129.46,3,0
O-0000324,C-00028,2025-07-31,retail-store,winter-layering,0.2,83.3,2,1
O-0000325,C-00028,2025-11-08,online,trail-season,0.13,58.16,2,0
O-0000326,C-00028,2026-02-23,online,always-on,0.18,83.1,1,0
O-0000327,C-00028,2026-06-07,online,cart-recovery,0.23,70.5,2,0
O-0000328,C-00029,2025-02-04,online,trail-season,0.26,92.91,2,0
O-0000329,C-00029,2025-03-11,retail-store,trail-season,0.17,74.2,2,1
O-0000330,C-00029,2025-04-15,online,winter-layering,0.2,62.06,1,0
O-0000331,C-00029,2025-05-12,online,cart-recovery,0.29,60.6,1,0
O-0000332,C-00029,2025-06-18,online,member-event,0.18,70.05,2,0
O-0000333,C-00029,2025-07-25,online,winter-layering,0.35,92.88,2,0
O-0000334,C-00029,2025-08-30,online,winter-layering,0.28,81.7,1,0
O-0000335,C-00029,2025-10-04,retail-store,always-on,0.22,75.9,1,0
O-0000336,C-00029,2025-11-08,online,cart-recovery,0.21,71.17,1,0
O-0000337,C-00029,2025-12-13,online,winter-layering,0.24,84.89,1,1
O-0000338,C-00029,2026-01-13,retail-store,winter-layering,0.3,67.56,2,0
O-0000339,C-00029,2026-02-18,online,winter-layering,0.31,88.8,2,0
O-0000340,C-00029,2026-03-26,online,cart-recovery,0.29,79.39,1,0
O-0000341,C-00029,2026-04-25,retail-store,always-on,0.32,66.38,2,1
O-0000342,C-00029,2026-06-02,online,member-event,0.22,84.06,3,0
O-0000343,C-00030,2024-07-29,online,winter-layering,0.01,179.28,2,0
O-0000344,C-00030,2024-10-06,online,cart-recovery,0.15,166.56,5,0
O-0000345,C-00030,2024-12-14,online,always-on,0.16,186.84,4,0
O-0000346,C-00030,2025-02-20,online,trail-season,0.13,220.93,3,0
O-0000347,C-00030,2025-04-24,online,cart-recovery,0.15,185.3,4,1
O-0000348,C-00030,2025-07-10,online,always-on,0.01,142.19,2,1
O-0000349,C-00030,2025-09-16,online,member-event,0.11,161.75,4,0
O-0000350,C-00030,2025-11-25,online,trail-season,0.09,170.47,4,0
O-0000351,C-00030,2026-02-02,online,member-event,0.12,137.23,2,0
O-0000352,C-00030,2026-04-12,retail-store,trail-season,0.1,173,5,0
O-0000353,C-00030,2026-06-23,online,member-event,0.06,149.47,4,1
O-0000354,C-00031,2025-01-30,online,winter-layering,0.21,80.5,1,0
O-0000355,C-00031,2025-06-04,online,trail-season,0.3,64.99,1,0
O-0000356,C-00031,2025-09-30,online,winter-layering,0.23,63.97,1,0
O-0000357,C-00031,2026-02-10,online,winter-layering,0.19,60.87,1,0
O-0000358,C-00031,2026-06-03,online,winter-layering,0.1,84.3,1,0
O-0000359,C-00032,2024-07-27,online,winter-layering,0.13,120.63,2,0
O-0000360,C-00032,2024-08-18,online,cart-recovery,0.16,157.46,3,0
O-0000361,C-00032,2024-09-09,retail-store,cart-recovery,0.15,167.45,3,0
O-0000362,C-00032,2024-10-01,online,winter-layering,0.18,184.12,4,0
O-0000363,C-00032,2024-10-20,online,trail-season,0.16,166.46,3,0
O-0000364,C-00032,2024-11-12,online,member-event,0.12,216.13,3,0
O-0000365,C-00032,2024-12-01,retail-store,winter-layering,0.03,215.75,3,0
O-0000366,C-00032,2024-12-23,online,member-event,0.04,187.18,3,0
